start_beats,duration_beats,midi_note,velocity,role
0.000,3.800,48,46,bass
0.000,3.800,60,42,harmony
0.000,3.800,64,42,harmony
0.000,3.800,67,42,harmony
0.000,1.100,65,82,melody
1.250,1.100,62,85,melody
2.500,1.760,71,82,melody
4.000,3.800,53,46,bass
4.000,3.800,65,42,harmony
4.000,3.800,69,42,harmony
4.000,3.800,72,42,harmony
4.500,1.760,71,74,melody
6.500,1.540,72,84,melody
8.000,3.800,55,46,bass
8.000,3.800,67,42,harmony
8.000,3.800,71,42,harmony
8.000,3.800,74,42,harmony
8.250,1.320,71,73,melody
9.750,1.100,62,86,melody
11.000,1.540,65,70,melody
12.000,3.800,48,46,bass
12.000,3.800,60,42,harmony
12.000,3.800,64,42,harmony
12.000,3.800,67,42,harmony
12.750,1.100,65,80,melody
14.000,1.100,62,82,melody
15.250,0.660,71,70,melody
